name,status,prod_orig,prod_curr,estab_date,total_size,ava,boundary
AETNA SPRING CELLARS,PROD,2000,20000,06/01/1986,2500,Napa Valley,"<Point><coordinates>-122.466439350679522,38.650287350196606,0</coordinates></Point>"
POPE VALLEY WINERY,PROD,5000,20000,12/01/1972,4836,Napa Valley,"<Point><coordinates>-122.451882659472005,38.633936412743132,0</coordinates></Point>"
CANDLESTICK RIDGE VINEYARD,UNKNWN,20000,20000,09/01/1988,3018,Howell Mountain,"<Point><coordinates>-122.478445061038073,38.620086391890119,0</coordinates></Point>"
WHISKEY RIVER RANCH VINEYARDS,PROD,180000,360000,09/01/1996,30537,Napa Valley,"<Point><coordinates>-122.395633885785344,38.60496956712263,0</coordinates></Point>"
SEARS WINERY,PRODMD,750,20000,09/01/1996,8365,Howell Mountain,"<Point><coordinates>-122.473126267672157,38.605272664721987,0</coordinates></Point>"
CHATEAU MONTELENA WINERY,PROD,125000,128000,09/01/1886,44062,Calistoga,"<Point><coordinates>-122.598785970794083,38.602971147775627,0</coordinates></Point>"
STORYBOOK MOUNTAIN VINEYARD,PROD,3,15000,09/18/1983,8375,Calistoga,"<Point><coordinates>-122.639386181136572,38.59973629974013,0</coordinates></Point>"
ATALON WINERY,PROD,1500,60000,12/01/1978,12100,Calistoga,"<Point><coordinates>-122.60983779340512,38.599187216688939,0</coordinates></Point>"
HELENA VIEW - JOHNSTON VINEYARDS,PROD,2000,20000,09/01/1989,1200,Calistoga,"<Point><coordinates>-122.624906581857886,38.600942555403265,0</coordinates></Point>"
BENNETT LANE WINERY,PROD,20000,50000,09/01/1996,17550,Calistoga,"<Point><coordinates>-122.61527365007025,38.599379169045172,0</coordinates></Point>"
SUMMIT LAKE VINEYARDS,PROD,3000,12000,09/01/1985,2500,Howell Mountain,"<Point><coordinates>-122.460313044219617,38.600112527446591,0</coordinates></Point>"
ARROYO WINERY,PROD,10000,20000,12/01/1982,9586,Calistoga,"<Point><coordinates>-122.588574979177437,38.597259054221148,0</coordinates></Point>"
OUTPOST WINES,PROD,1800,50000,09/01/1988,9155,Howell Mountain,"<Point><coordinates>-122.463380863644602,38.598080318766058,0</coordinates></Point>"
DUNN VINEYARDS,PROD,5000,20000,12/01/1982,8050,Howell Mountain,"<Point><coordinates>-122.451457245475694,38.59329938889055,0</coordinates></Point>"
SUMMERS WINERY,PROD,20000,100000,09/01/1984,13948,Calistoga,"<Point><coordinates>-122.605076454994958,38.592296505678021,0</coordinates></Point>"
LAURA MICHAEL WINES,PRODMD,5000,5000,12/01/1980,600,Calistoga,"<Point><coordinates>-122.578409425570612,38.591769979477768,0</coordinates></Point>"
ARAUJO ESTATES WINERY,PROD,20000,20000,09/01/1992,18403,Calistoga,"<Point><coordinates>-122.553988545120049,38.584647990980685,0</coordinates></Point>"
THEOREM WINERY,APVD,20000,20000,12/01/1985,23925,Diamond Mountain District,"<Point><coordinates>-122.617383511438774,38.576121691585982,0</coordinates></Point>"
